pid,eid,pname,subject,date,number,rl,neuropixel,t0,i_snippet,n_snippets,passive
bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,ZFM-02370,2021-04-29,1,6089.588766666667,3B2,3800.0,6,10,False
bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,ZFM-02370,2021-04-29,1,6089.588766666667,3B2,4400.0,7,10,False
bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,ZFM-02370,2021-04-29,1,6089.588766666667,3B2,5000.0,8,10,False
bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,30c4e2ab-dffc-499d-aae4-e51d6b3218c2,probe00,ZFM-02370,2021-04-29,1,6089.588766666667,3B2,5600.0,9,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,200.0,0,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,800.0,1,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,1400.0,2,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,2000.0,3,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,2600.0,4,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,3200.0,5,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,3800.0,6,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,4400.0,7,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,5000.0,8,10,False
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,d9f0c293-df4c-410a-846d-842e47c6b502,probe01,ibl_witten_25,2020-12-07,2,5960.6116,3A,5600.0,9,10,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,200.0,0,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,800.0,1,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,1400.0,2,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,2000.0,3,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,2600.0,4,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,3200.0,5,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,3800.0,6,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,4400.0,7,9,False
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,probe01,ibl_witten_32,2021-07-20,1,5274.411976015229,3B2,5000.0,8,9,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,200.0,0,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,800.0,1,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,1400.0,2,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,2000.0,3,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,2600.0,4,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,3200.0,5,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,3800.0,6,8,False
bf96f6d6-4726-4cfa-804a-bca8f9262721,f140a2ec-fd49-4814-994a-fe3476f14e66,probe00,NYU-47,2021-06-21,3,4811.407533333333,3B2,4400.0,7,8,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,200.0,0,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,800.0,1,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,1400.0,2,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,2000.0,3,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,2600.0,4,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,3200.0,5,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,3800.0,6,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,4400.0,7,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,5000.0,8,10,False
f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,CSHL045,2020-02-25,2,5754.1956,3A,5600.0,9,10,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,200.0,0,7,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,800.0,1,7,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,1400.0,2,7,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,2000.0,3,7,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,2600.0,4,7,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,3200.0,5,7,False
5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,NYU-48,2021-06-28,1,4041.0324333333333,3B2,3800.0,6,7,False
8b7c808f-763b-44c8-b273-63c6afbc6aae,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,SWC_038,2020-07-29,1,3533.125438286138,3B2,200.0,0,6,False
8b7c808f-763b-44c8-b273-63c6afbc6aae,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,SWC_038,2020-07-29,1,3533.125438286138,3B2,800.0,1,6,False
8b7c808f-763b-44c8-b273-63c6afbc6aae,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,SWC_038,2020-07-29,1,3533.125438286138,3B2,1400.0,2,6,False
8b7c808f-763b-44c8-b273-63c6afbc6aae,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,SWC_038,2020-07-29,1,3533.125438286138,3B2,2000.0,3,6,False
8b7c808f-763b-44c8-b273-63c6afbc6aae,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,SWC_038,2020-07-29,1,3533.125438286138,3B2,2600.0,4,6,False
8b7c808f-763b-44c8-b273-63c6afbc6aae,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,SWC_038,2020-07-29,1,3533.125438286138,3B2,3200.0,5,6,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,200.0,0,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,800.0,1,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,1400.0,2,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,2000.0,3,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,2600.0,4,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,3200.0,5,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,3800.0,6,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,4400.0,7,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,5000.0,8,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,5600.0,9,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,6200.0,10,12,False
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,NYU-27,2020-09-28,1,6993.648533333333,3B2,6800.0,11,12,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,200.0,0,7,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,800.0,1,7,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,1400.0,2,7,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,2000.0,3,7,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,2600.0,4,7,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,3200.0,5,7,False
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,CSH_ZAD_029,2020-09-09,1,4235.995,3B2,3800.0,6,7,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,200.0,0,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,800.0,1,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,1400.0,2,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,2000.0,3,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,2600.0,4,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,3200.0,5,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,3800.0,6,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,4400.0,7,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,5000.0,8,10,False
9117969a-3f0d-478b-ad75-98263e3bfacf,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,DY_010,2020-01-27,1,5671.506866666667,3B2,5600.0,9,10,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,200.0,0,8,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,800.0,1,8,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,1400.0,2,8,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,2000.0,3,8,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,2600.0,4,8,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,3200.0,5,8,False
92033a0c-5a14-471b-b131-d43c72ca5d7a,f115196e-8dfe-4d2a-8af3-8206d93c1729,probe00,NR_0021,2022-06-23,3,4589.531966666666,3B2,3800.0,6,8,False
